Trip_Type,Surroundings,Room_Type,Season,Duration_Days,Activity_To_Perform,Budget_INR,Destination
Pilgrimage Trip,Religious Town,Luxury Hotel,Winter,7,Religious visit,72597,Uttar Pradesh
Adventure Trip,Forest,Camping,Summer,3,White Water Rafting,72597,Maharashtra
Group Trip,French Colony,Camping,Autumn,2,Sightseeing,72597,Puducherry
Group Trip,Forest,Ashram Accommodation,Winter,6,Relaxation,72597,Madhya Pradesh
Solo Trip,Temple Town,Beachfront Villa,Winter,10,Motorcycling,72597,Maharashtra
Romantic Getaway,Forest,Hostel Dorm,Winter,2,Relaxation,72597,Madhya Pradesh
Adventure Trip,Mountains,Homestay,Winter,5,Trekking,72597,Jammu and Kashmir
Cultural Trip,Mountains,Jungle Lodge,Winter,7,Temple hopping,72597,Himachal Pradesh
Family Trip,City,Homestay,Autumn,10,Sightseeing,72597,Uttar Pradesh
Cultural Trip,Religious Town,Heritage Hotel,Autumn,4,Temple hopping,72597,Uttar Pradesh
Honeymoon Trip,City,Homestay,Summer,2,Scuba Diving,72597,Uttar Pradesh
Solo Trip,Hills,Beachfront Resort,Winter,5,Trekking,72597,West Bengal
Solo Trip,Desert,Luxury Hotel,Spring,3,Scuba Diving,72597,Ladakh
Solo Trip,Backwaters,Beachfront Resort,Spring,6,Trekking,72597,Kerala
Cultural Trip,Desert,Camping,Summer,10,Heritage Walk,72597,Ladakh
Wildlife Trip,Islands,Hostel Dorm,Monsoon,3,Safari,72597,Andaman & Nicobar Islands
Family Trip,Desert,Jungle Lodge,Winter,3,Heritage Walk,72597,Ladakh
Romantic Getaway,Royal Palaces,Beachfront Villa,Autumn,8,Relaxation,72597,Rajasthan
Backpacking Trip,Temple Town,Homestay,Winter,3,Trekking,72597,Maharashtra
Pilgrimage Trip,Islands,Beachfront Villa,Monsoon,10,Religious visit,72597,Andaman & Nicobar Islands
Pilgrimage Trip,Deserts,Beachfront Resort,Winter,8,Religious visit,72597,Rajasthan
Group Trip,Hills,Houseboat,Spring,10,Heritage Walk,72597,West Bengal
Cultural Trip,Deserts,Beachfront Villa,Autumn,9,Temple hopping,72597,Rajasthan
Adventure Trip,Mountains,Heritage Hotel,Winter,4,White Water Rafting,72597,Himachal Pradesh
Honeymoon Trip,Temple Town,Heritage Hotel,Winter,5,Honeymoon Cruise,72597,Maharashtra
Cultural Trip,Backwaters,Jungle Lodge,Winter,9,Heritage Walk,72597,Kerala
Wildlife Trip,Deserts,Jungle Lodge,Winter,7,Safari,72597,Rajasthan
Backpacking Trip,Deserts,Homestay,Spring,9,Heritage Walk,72597,Rajasthan
Adventure Trip,Hills,Heritage Hotel,Winter,10,White Water Rafting,72597,Kerala
Group Trip,Temple Town,Jungle Lodge,Monsoon,5,Temple hopping,72597,Maharashtra
Family Trip,Mountains,Heritage Hotel,Monsoon,7,Ayurvedic Spa,72597,Ladakh
Wildlife Trip,Hills,Jungle Lodge,Autumn,9,Safari,72597,Kerala
Solo Trip,Temples,Ashram Accommodation,Monsoon,9,Scuba Diving,72597,Madhya Pradesh
Cultural Trip,Mountains,Luxury Hotel,Monsoon,2,Heritage Walk,72597,Ladakh
Romantic Getaway,Hills,Jungle Lodge,Summer,2,Relaxation,72597,West Bengal
Honeymoon Trip,Mountains,Ashram Accommodation,Winter,2,Ayurvedic Spa,72597,Himachal Pradesh
Cultural Trip,Mountains,Beachfront Villa,Summer,6,Temple hopping,72597,Uttarakhand
Adventure Trip,Forest,Luxury Hotel,Monsoon,4,White Water Rafting,72597,Madhya Pradesh
Wildlife Trip,French Colony,Hostel Dorm,Spring,4,Safari,72597,Puducherry
Family Trip,Backwaters,Camping,Autumn,2,Relaxation,72597,Kerala
Cultural Trip,Mountains,Houseboat,Spring,2,Heritage Walk,72597,Himachal Pradesh
Solo Trip,Mountains,Hostel Dorm,Winter,4,Scuba Diving,72597,Uttarakhand
Adventure Trip,City,Hostel Dorm,Monsoon,9,Motorcycling,72597,Uttar Pradesh
Adventure Trip,City,Ashram Accommodation,Monsoon,4,Motorcycling,72597,Uttar Pradesh
Group Trip,Forest,Jungle Lodge,Winter,2,Heritage Walk,72597,Madhya Pradesh
Romantic Getaway,Mountains,Houseboat,Spring,10,Relaxation,72597,Himachal Pradesh
Adventure Trip,Hills,Luxury Hotel,Autumn,6,White Water Rafting,72597,West Bengal
Romantic Getaway,Backwaters,Beachfront Villa,Monsoon,6,Ayurvedic Spa,72597,Kerala
Pilgrimage Trip,Religious Town,Beachfront Villa,Monsoon,3,Religious visit,72597,Uttar Pradesh
Adventure Trip,Desert,Heritage Hotel,Spring,7,Trekking,72597,Ladakh
Adventure Trip,Forest,Hostel Dorm,Autumn,8,Trekking,72597,Maharashtra
Adventure Trip,Mountains,Ashram Accommodation,Summer,9,Trekking,72597,Jammu and Kashmir
Pilgrimage Trip,Forest,Homestay,Summer,5,Religious visit,72597,Madhya Pradesh
Family Trip,Temples,Homestay,Spring,3,Ayurvedic Spa,72597,Madhya Pradesh
Cultural Trip,Temples,Beachfront Resort,Monsoon,10,Temple hopping,72597,Madhya Pradesh
Romantic Getaway,French Colony,Ashram Accommodation,Spring,5,Ayurvedic Spa,72597,Puducherry
Solo Trip,Forest,Hostel Dorm,Autumn,3,Trekking,72597,Madhya Pradesh
Honeymoon Trip,Temple Town,Homestay,Autumn,5,Honeymoon Cruise,72597,Maharashtra
Backpacking Trip,Hills,Houseboat,Spring,4,Heritage Walk,72597,West Bengal
Family Trip,Beach,Beachfront Villa,Spring,8,Ayurvedic Spa,72597,Goa
Family Trip,Mountains,Beachfront Villa,Winter,4,Sightseeing,72597,Uttarakhand
Wildlife Trip,Hills,Luxury Hotel,Spring,8,Safari,72597,Kerala
Wildlife Trip,Backwaters,Houseboat,Monsoon,2,Safari,72597,Kerala
Group Trip,Temple Town,Camping,Monsoon,7,Sightseeing,72597,Maharashtra
Solo Trip,Royal Palaces,Hostel Dorm,Monsoon,6,Trekking,72597,Rajasthan
Wildlife Trip,Mountains,Beachfront Villa,Winter,5,Safari,72597,Ladakh
Honeymoon Trip,French Colony,Beachfront Resort,Autumn,3,Sightseeing,72597,Puducherry
Backpacking Trip,Backwaters,Ashram Accommodation,Autumn,4,Heritage Walk,72597,Kerala
Cultural Trip,Mountains,Heritage Hotel,Summer,3,Heritage Walk,72597,Himachal Pradesh
Honeymoon Trip,Deserts,Houseboat,Winter,8,Relaxation,72597,Rajasthan
Romantic Getaway,Backwaters,Houseboat,Autumn,9,Relaxation,72597,Kerala
Honeymoon Trip,Backwaters,Beachfront Resort,Monsoon,9,Sightseeing,72597,Kerala
Family Trip,Religious Town,Houseboat,Autumn,10,Sightseeing,72597,Uttar Pradesh
Romantic Getaway,Temple Town,Heritage Hotel,Autumn,6,Scuba Diving,72597,Maharashtra
Family Trip,Islands,Camping,Winter,7,Toy Train Ride,72597,Andaman & Nicobar Islands
Group Trip,Beach,Beachfront Resort,Spring,4,Toy Train Ride,72597,Goa
Wildlife Trip,Mountains,Homestay,Spring,7,Safari,72597,Himachal Pradesh
Group Trip,Beach,Heritage Hotel,Summer,2,Heritage Walk,72597,Andaman & Nicobar Islands
Wildlife Trip,Mountains,Ashram Accommodation,Monsoon,10,Safari,72597,Himachal Pradesh
Adventure Trip,Mountains,Ashram Accommodation,Winter,4,Trekking,72597,Himachal Pradesh
Family Trip,Hills,Jungle Lodge,Monsoon,10,Relaxation,72597,West Bengal
Cultural Trip,Royal Palaces,Heritage Hotel,Winter,7,Temple hopping,72597,Rajasthan
Cultural Trip,Mountains,Camping,Monsoon,8,Heritage Walk,72597,Himachal Pradesh
Solo Trip,French Colony,Hostel Dorm,Winter,7,Trekking,72597,Puducherry
Solo Trip,Forest,Luxury Hotel,Winter,7,Trekking,72597,Madhya Pradesh
Group Trip,Hills,Camping,Spring,7,Sightseeing,72597,Kerala
Romantic Getaway,Beach,Heritage Hotel,Spring,4,Ayurvedic Spa,72597,Goa
Solo Trip,Temples,Jungle Lodge,Monsoon,3,Skiing,72597,Madhya Pradesh
Group Trip,Desert,Jungle Lodge,Spring,9,Toy Train Ride,72597,Ladakh
Adventure Trip,Desert,Ashram Accommodation,Summer,10,Trekking,72597,Ladakh
Wildlife Trip,Backwaters,Ashram Accommodation,Winter,9,Safari,72597,Kerala
Romantic Getaway,Backwaters,Hostel Dorm,Summer,4,Relaxation,72597,Kerala
Solo Trip,Hills,Ashram Accommodation,Spring,3,Relaxation,72597,West Bengal
Backpacking Trip,Mountains,Jungle Lodge,Monsoon,5,Camping,72597,Himachal Pradesh
Cultural Trip,Islands,Jungle Lodge,Summer,9,Temple hopping,72597,Andaman & Nicobar Islands
Cultural Trip,Backwaters,Beachfront Villa,Autumn,9,Heritage Walk,72597,Kerala
Group Trip,Temples,Luxury Hotel,Monsoon,5,Relaxation,72597,Madhya Pradesh
Adventure Trip,Hills,Camping,Autumn,7,White Water Rafting,72597,Kerala
Wildlife Trip,Deserts,Houseboat,Winter,3,Safari,72597,Rajasthan
Backpacking Trip,Backwaters,Hostel Dorm,Spring,10,Trekking,72597,Kerala
Romantic Getaway,Religious Town,Camping,Autumn,3,Relaxation,72597,Uttar Pradesh
Wildlife Trip,Religious Town,Hostel Dorm,Spring,6,Safari,72597,Uttar Pradesh
Honeymoon Trip,City,Jungle Lodge,Spring,5,Relaxation,72597,Uttar Pradesh
Wildlife Trip,Royal Palaces,Heritage Hotel,Summer,5,Safari,72597,Rajasthan
Group Trip,Backwaters,Beachfront Villa,Monsoon,8,Temple hopping,72597,Kerala
Group Trip,Beach,Heritage Hotel,Summer,7,Heritage Walk,72597,Goa
Backpacking Trip,Mountains,Houseboat,Autumn,2,Trekking,72597,Uttarakhand
Solo Trip,Backwaters,Hostel Dorm,Winter,9,Skiing,72597,Kerala
Group Trip,Mountains,Jungle Lodge,Monsoon,10,Temple hopping,72597,Jammu and Kashmir
Cultural Trip,City,Ashram Accommodation,Summer,3,Temple hopping,72597,Uttar Pradesh
Cultural Trip,Religious Town,Beachfront Villa,Autumn,10,Temple hopping,72597,Uttar Pradesh
Pilgrimage Trip,Hills,Heritage Hotel,Autumn,5,Religious visit,72597,Kerala
Adventure Trip,Mountains,Jungle Lodge,Autumn,4,Motorcycling,72597,Himachal Pradesh
Honeymoon Trip,Religious Town,Luxury Hotel,Spring,3,Scuba Diving,72597,Uttar Pradesh
Cultural Trip,Forest,Camping,Summer,10,Temple hopping,72597,Madhya Pradesh
Adventure Trip,Beach,Hostel Dorm,Monsoon,5,White Water Rafting,72597,Andaman & Nicobar Islands
Wildlife Trip,Desert,Ashram Accommodation,Summer,2,Safari,72597,Ladakh
Adventure Trip,Mountains,Beachfront Villa,Spring,7,Camping,72597,Himachal Pradesh
Family Trip,Mountains,Beachfront Villa,Summer,7,Heritage Walk,72597,Himachal Pradesh
Honeymoon Trip,Royal Palaces,Beachfront Resort,Autumn,5,Ayurvedic Spa,72597,Rajasthan
Backpacking Trip,Temple Town,Homestay,Winter,10,Camping,72597,Maharashtra
Adventure Trip,City,Ashram Accommodation,Summer,9,Camping,72597,Uttar Pradesh
Wildlife Trip,City,Beachfront Resort,Autumn,3,Safari,72597,Uttar Pradesh
Cultural Trip,French Colony,Homestay,Spring,2,Temple hopping,72597,Puducherry
Adventure Trip,Backwaters,Ashram Accommodation,Spring,8,White Water Rafting,72597,Kerala
Wildlife Trip,Islands,Luxury Hotel,Autumn,10,Safari,72597,Andaman & Nicobar Islands
Pilgrimage Trip,Backwaters,Houseboat,Monsoon,9,Religious visit,72597,Kerala
Cultural Trip,City,Houseboat,Summer,7,Temple hopping,72597,Uttar Pradesh
Romantic Getaway,Mountains,Jungle Lodge,Spring,6,Ayurvedic Spa,72597,Himachal Pradesh
Honeymoon Trip,City,Homestay,Monsoon,2,Ayurvedic Spa,72597,Uttar Pradesh
Romantic Getaway,Beach,Ashram Accommodation,Summer,9,Honeymoon Cruise,72597,Goa
Pilgrimage Trip,Mountains,Heritage Hotel,Summer,10,Religious visit,72597,Ladakh
Honeymoon Trip,Forest,Ashram Accommodation,Autumn,5,Honeymoon Cruise,72597,Maharashtra
Pilgrimage Trip,Hills,Houseboat,Autumn,9,Religious visit,72597,West Bengal
Pilgrimage Trip,Mountains,Jungle Lodge,Monsoon,2,Religious visit,72597,Ladakh
Pilgrimage Trip,Backwaters,Houseboat,Autumn,7,Religious visit,72597,Kerala
Honeymoon Trip,Mountains,Beachfront Villa,Spring,8,Relaxation,72597,Jammu and Kashmir
Backpacking Trip,Mountains,Jungle Lodge,Spring,10,Camping,72597,Uttarakhand
Romantic Getaway,French Colony,Heritage Hotel,Autumn,10,Scuba Diving,72597,Puducherry
Group Trip,Beach,Houseboat,Spring,3,Relaxation,72597,Goa
Romantic Getaway,Beach,Hostel Dorm,Summer,8,Scuba Diving,72597,Andaman & Nicobar Islands
Romantic Getaway,City,Heritage Hotel,Monsoon,7,Scuba Diving,72597,Uttar Pradesh
Romantic Getaway,Mountains,Jungle Lodge,Monsoon,9,Scuba Diving,72597,Himachal Pradesh
Solo Trip,Temples,Camping,Spring,3,Scuba Diving,72597,Madhya Pradesh
Pilgrimage Trip,City,Hostel Dorm,Spring,7,Religious visit,72597,Uttar Pradesh
Group Trip,Hills,Ashram Accommodation,Winter,6,Relaxation,72597,Kerala
Adventure Trip,Backwaters,Heritage Hotel,Spring,7,Trekking,72597,Kerala
Pilgrimage Trip,Deserts,Houseboat,Summer,6,Religious visit,72597,Rajasthan
Cultural Trip,City,Ashram Accommodation,Winter,7,Temple hopping,72597,Uttar Pradesh
Pilgrimage Trip,City,Luxury Hotel,Winter,8,Religious visit,72597,Uttar Pradesh
Pilgrimage Trip,French Colony,Heritage Hotel,Autumn,2,Religious visit,72597,Puducherry
Backpacking Trip,City,Hostel Dorm,Monsoon,7,Motorcycling,72597,Uttar Pradesh
Pilgrimage Trip,Temple Town,Heritage Hotel,Summer,4,Religious visit,72597,Maharashtra
Family Trip,Temple Town,Beachfront Villa,Summer,2,Heritage Walk,72597,Maharashtra
Adventure Trip,Beach,Jungle Lodge,Winter,2,Camping,72597,Andaman & Nicobar Islands
Family Trip,French Colony,Heritage Hotel,Monsoon,5,Relaxation,72597,Puducherry
Family Trip,French Colony,Camping,Autumn,9,Heritage Walk,72597,Puducherry
Adventure Trip,City,Camping,Winter,4,Scuba Diving,72597,Uttar Pradesh
Family Trip,Deserts,Homestay,Winter,9,Sightseeing,72597,Rajasthan
Pilgrimage Trip,Backwaters,Heritage Hotel,Autumn,4,Religious visit,72597,Kerala
Solo Trip,Islands,Beachfront Resort,Summer,5,Skiing,72597,Andaman & Nicobar Islands
Pilgrimage Trip,Mountains,Homestay,Summer,4,Religious visit,72597,Himachal Pradesh
Honeymoon Trip,Beach,Jungle Lodge,Summer,8,Honeymoon Cruise,72597,Goa
Family Trip,Deserts,Homestay,Autumn,4,Ayurvedic Spa,72597,Rajasthan
Backpacking Trip,Beach,Beachfront Resort,Summer,10,Trekking,72597,Goa
Backpacking Trip,Forest,Beachfront Resort,Monsoon,4,Trekking,72597,Madhya Pradesh
Honeymoon Trip,Forest,Homestay,Autumn,4,Sightseeing,72597,Maharashtra
Adventure Trip,Desert,Hostel Dorm,Autumn,9,Camping,72597,Ladakh
Pilgrimage Trip,Religious Town,Houseboat,Summer,7,Religious visit,72597,Uttar Pradesh
Family Trip,Beach,Ashram Accommodation,Winter,5,Heritage Walk,72597,Goa
Backpacking Trip,Backwaters,Homestay,Winter,10,Heritage Walk,72597,Kerala
Solo Trip,Temples,Camping,Summer,7,Motorcycling,72597,Madhya Pradesh
Group Trip,Backwaters,Houseboat,Summer,9,Toy Train Ride,72597,Kerala
Honeymoon Trip,Forest,Houseboat,Spring,7,Sightseeing,72597,Maharashtra
Romantic Getaway,Forest,Jungle Lodge,Spring,5,Scuba Diving,72597,Maharashtra
Adventure Trip,Mountains,Jungle Lodge,Autumn,5,Motorcycling,72597,Jammu and Kashmir
Honeymoon Trip,Mountains,Beachfront Resort,Summer,2,Ayurvedic Spa,72597,Uttarakhand
Cultural Trip,Mountains,Jungle Lodge,Summer,10,Heritage Walk,72597,Jammu and Kashmir
Romantic Getaway,Religious Town,Homestay,Winter,2,Scuba Diving,72597,Uttar Pradesh
Family Trip,Beach,Beachfront Villa,Spring,8,Sightseeing,72597,Goa
Wildlife Trip,Beach,Luxury Hotel,Monsoon,9,Safari,72597,Andaman & Nicobar Islands
Cultural Trip,Mountains,Heritage Hotel,Winter,7,Temple hopping,72597,Himachal Pradesh
Group Trip,Mountains,Beachfront Villa,Autumn,3,Sightseeing,72597,Himachal Pradesh
Wildlife Trip,Temples,Homestay,Autumn,10,Safari,72597,Madhya Pradesh
Group Trip,Deserts,Luxury Hotel,Winter,10,Heritage Walk,72597,Rajasthan
Backpacking Trip,Backwaters,Jungle Lodge,Autumn,6,Motorcycling,72597,Kerala
Honeymoon Trip,Royal Palaces,Luxury Hotel,Autumn,10,Sightseeing,72597,Rajasthan
Backpacking Trip,Religious Town,Beachfront Villa,Spring,6,Motorcycling,72597,Uttar Pradesh
Wildlife Trip,Beach,Beachfront Villa,Monsoon,7,Safari,72597,Andaman & Nicobar Islands
Cultural Trip,Mountains,Beachfront Villa,Summer,2,Temple hopping,72597,Himachal Pradesh
Honeymoon Trip,Mountains,Camping,Summer,9,Relaxation,72597,Himachal Pradesh
Romantic Getaway,Temples,Homestay,Winter,5,Honeymoon Cruise,72597,Madhya Pradesh
Group Trip,Temple Town,Beachfront Resort,Spring,5,Sightseeing,72597,Maharashtra
Family Trip,French Colony,Luxury Hotel,Monsoon,9,Toy Train Ride,72597,Puducherry
Cultural Trip,Forest,Homestay,Spring,2,Temple hopping,72597,Maharashtra
Backpacking Trip,Islands,Hostel Dorm,Autumn,4,Camping,72597,Andaman & Nicobar Islands
Solo Trip,Desert,Beachfront Villa,Winter,9,Trekking,72597,Ladakh
Family Trip,Mountains,Hostel Dorm,Monsoon,7,Toy Train Ride,72597,Uttarakhand
Honeymoon Trip,Backwaters,Luxury Hotel,Spring,5,Ayurvedic Spa,72597,Kerala
Group Trip,Mountains,Heritage Hotel,Spring,7,Sightseeing,72597,Himachal Pradesh
Solo Trip,Mountains,Camping,Winter,8,Motorcycling,72597,Uttarakhand
Cultural Trip,Mountains,Luxury Hotel,Autumn,5,Temple hopping,72597,Himachal Pradesh
Adventure Trip,City,Ashram Accommodation,Spring,8,White Water Rafting,72597,Uttar Pradesh
Honeymoon Trip,Mountains,Jungle Lodge,Winter,7,Scuba Diving,72597,Himachal Pradesh
Romantic Getaway,Backwaters,Heritage Hotel,Autumn,4,Scuba Diving,72597,Kerala
Honeymoon Trip,City,Camping,Autumn,10,Relaxation,72597,Uttar Pradesh
Wildlife Trip,Royal Palaces,Camping,Spring,10,Safari,72597,Rajasthan
Pilgrimage Trip,City,Heritage Hotel,Autumn,3,Religious visit,72597,Uttar Pradesh
Wildlife Trip,Beach,Ashram Accommodation,Autumn,9,Safari,72597,Goa
Family Trip,Mountains,Camping,Winter,3,Relaxation,72597,Himachal Pradesh
Pilgrimage Trip,Temple Town,Beachfront Villa,Summer,5,Religious visit,72597,Maharashtra
Adventure Trip,Mountains,Camping,Monsoon,5,Scuba Diving,72597,Himachal Pradesh
Honeymoon Trip,Forest,Camping,Spring,9,Scuba Diving,72597,Madhya Pradesh
Romantic Getaway,Temples,Camping,Monsoon,10,Honeymoon Cruise,72597,Madhya Pradesh
Solo Trip,Deserts,Ashram Accommodation,Monsoon,6,Relaxation,72597,Rajasthan
Solo Trip,French Colony,Houseboat,Spring,3,Skiing,72597,Puducherry
Romantic Getaway,Royal Palaces,Camping,Monsoon,6,Honeymoon Cruise,72597,Rajasthan
Romantic Getaway,Religious Town,Beachfront Villa,Autumn,5,Honeymoon Cruise,72597,Uttar Pradesh
Cultural Trip,Forest,Beachfront Resort,Summer,6,Heritage Walk,72597,Madhya Pradesh
Romantic Getaway,Royal Palaces,Luxury Hotel,Monsoon,5,Ayurvedic Spa,72597,Rajasthan
Family Trip,Hills,Ashram Accommodation,Monsoon,8,Toy Train Ride,72597,West Bengal
Solo Trip,City,Homestay,Summer,2,Scuba Diving,72597,Uttar Pradesh
Romantic Getaway,Royal Palaces,Hostel Dorm,Winter,7,Ayurvedic Spa,72597,Rajasthan
Backpacking Trip,Forest,Homestay,Summer,9,Camping,72597,Madhya Pradesh
Adventure Trip,Mountains,Camping,Summer,9,Trekking,72597,Jammu and Kashmir
Wildlife Trip,Temples,Beachfront Villa,Autumn,6,Safari,72597,Madhya Pradesh
Wildlife Trip,Beach,Hostel Dorm,Winter,4,Safari,72597,Goa
Solo Trip,Deserts,Houseboat,Winter,2,Trekking,72597,Rajasthan
Solo Trip,Mountains,Hostel Dorm,Monsoon,6,Trekking,72597,Jammu and Kashmir
Solo Trip,Beach,Luxury Hotel,Autumn,3,Motorcycling,72597,Goa
Romantic Getaway,French Colony,Jungle Lodge,Spring,4,Ayurvedic Spa,72597,Puducherry
Honeymoon Trip,Mountains,Hostel Dorm,Winter,10,Ayurvedic Spa,72597,Ladakh
Honeymoon Trip,Mountains,Jungle Lodge,Autumn,8,Relaxation,72597,Uttarakhand
Romantic Getaway,Mountains,Ashram Accommodation,Summer,5,Honeymoon Cruise,72597,Himachal Pradesh
Pilgrimage Trip,Mountains,Jungle Lodge,Monsoon,9,Religious visit,72597,Uttarakhand
Cultural Trip,Beach,Houseboat,Winter,4,Temple hopping,72597,Goa
Group Trip,Hills,Beachfront Villa,Spring,10,Temple hopping,72597,Kerala
Cultural Trip,Forest,Beachfront Resort,Spring,7,Heritage Walk,72597,Maharashtra
Solo Trip,Mountains,Ashram Accommodation,Autumn,4,Scuba Diving,72597,Jammu and Kashmir
Adventure Trip,Hills,Beachfront Villa,Monsoon,2,White Water Rafting,72597,West Bengal
Solo Trip,Mountains,Beachfront Villa,Monsoon,3,Trekking,72597,Uttarakhand
Family Trip,Backwaters,Houseboat,Spring,9,Heritage Walk,72597,Kerala
Pilgrimage Trip,Beach,Beachfront Resort,Summer,8,Religious visit,72597,Andaman & Nicobar Islands
Pilgrimage Trip,Hills,Houseboat,Monsoon,10,Religious visit,72597,West Bengal
Solo Trip,Hills,Camping,Winter,5,Trekking,72597,Kerala
Adventure Trip,Beach,Houseboat,Winter,8,Scuba Diving,72597,Andaman & Nicobar Islands
Pilgrimage Trip,Hills,Ashram Accommodation,Winter,7,Religious visit,72597,West Bengal
Adventure Trip,Beach,Heritage Hotel,Monsoon,2,Scuba Diving,72597,Andaman & Nicobar Islands
Cultural Trip,Backwaters,Ashram Accommodation,Spring,6,Heritage Walk,72597,Kerala
Adventure Trip,Beach,Hostel Dorm,Spring,8,Motorcycling,72597,Goa
Adventure Trip,Mountains,Hostel Dorm,Autumn,3,Scuba Diving,72597,Ladakh
Group Trip,Hills,Hostel Dorm,Summer,4,Sightseeing,72597,West Bengal
Honeymoon Trip,Temples,Houseboat,Autumn,6,Ayurvedic Spa,72597,Madhya Pradesh
Honeymoon Trip,Backwaters,Hostel Dorm,Spring,9,Relaxation,72597,Kerala
Group Trip,Forest,Jungle Lodge,Autumn,9,Toy Train Ride,72597,Maharashtra
Family Trip,Backwaters,Luxury Hotel,Autumn,10,Toy Train Ride,72597,Kerala
Honeymoon Trip,French Colony,Homestay,Summer,4,Scuba Diving,72597,Puducherry
Solo Trip,Backwaters,Heritage Hotel,Autumn,7,Motorcycling,72597,Kerala
Honeymoon Trip,Hills,Beachfront Resort,Winter,10,Honeymoon Cruise,72597,Kerala
Backpacking Trip,City,Beachfront Villa,Summer,5,Camping,72597,Uttar Pradesh
Cultural Trip,Beach,Ashram Accommodation,Winter,3,Heritage Walk,72597,Andaman & Nicobar Islands
Wildlife Trip,Religious Town,Beachfront Villa,Spring,2,Safari,72597,Uttar Pradesh
Romantic Getaway,Desert,Jungle Lodge,Autumn,8,Honeymoon Cruise,72597,Ladakh
Honeymoon Trip,French Colony,Heritage Hotel,Spring,4,Honeymoon Cruise,72597,Puducherry
Pilgrimage Trip,Religious Town,Beachfront Resort,Summer,6,Religious visit,72597,Uttar Pradesh
Adventure Trip,Beach,Luxury Hotel,Spring,5,Trekking,72597,Goa
Solo Trip,Forest,Beachfront Villa,Summer,7,Relaxation,72597,Maharashtra
Cultural Trip,Mountains,Homestay,Summer,2,Heritage Walk,72597,Himachal Pradesh
Cultural Trip,Mountains,Homestay,Summer,9,Temple hopping,72597,Uttarakhand
Backpacking Trip,Beach,Ashram Accommodation,Autumn,6,Heritage Walk,72597,Goa
Family Trip,Islands,Luxury Hotel,Monsoon,2,Toy Train Ride,72597,Andaman & Nicobar Islands
Group Trip,Mountains,Beachfront Villa,Spring,5,Toy Train Ride,72597,Himachal Pradesh
Backpacking Trip,Deserts,Hostel Dorm,Winter,8,Motorcycling,72597,Rajasthan
Solo Trip,Islands,Luxury Hotel,Winter,6,Motorcycling,72597,Andaman & Nicobar Islands
Honeymoon Trip,Religious Town,Houseboat,Summer,9,Sightseeing,72597,Uttar Pradesh
Pilgrimage Trip,Forest,Heritage Hotel,Spring,2,Religious visit,72597,Madhya Pradesh
Solo Trip,Royal Palaces,Ashram Accommodation,Summer,3,Trekking,72597,Rajasthan
Romantic Getaway,Mountains,Heritage Hotel,Spring,7,Ayurvedic Spa,72597,Jammu and Kashmir
Group Trip,Desert,Jungle Lodge,Spring,3,Toy Train Ride,72597,Ladakh
Cultural Trip,Mountains,Heritage Hotel,Autumn,5,Temple hopping,72597,Himachal Pradesh
